learning_outcome,n,mean,sd,r,p,bis,subject
E30411,6940,0.455187319884726,0.498023656609554,0.441694930291499,0.455187319884726,0.441694930291499,English
E30412,6943,0.698977387296558,0.458735554285317,0.447074619360102,0.698977387296558,0.447074619360102,English
E30413,6940,0.445244956772334,0.497028652514134,0.402893217231636,0.445244956772334,0.402893217231636,English
E30414,6940,0.662391930835735,0.472928206625498,0.4668902945081,0.662391930835735,0.4668902945081,English
E30415,6940,0.768155619596542,0.422040553892251,0.397852996617771,0.768155619596542,0.397852996617771,English
E30416,6928,0.505629330254042,0.500004396706538,0.353624554564573,0.505629330254042,0.353624554564573,English
E30417,6917,0.626716784733266,0.483711363098715,0.49170803059078,0.626716784733266,0.49170803059078,English
E30418,6933,0.771094764171354,0.42015841246682,0.355426028069362,0.771094764171354,0.355426028069362,English
E30419,6932,0.71263704558569,0.452564949102728,0.451671293310364,0.71263704558569,0.451671293310364,English
E30420,6931,0.686192468619247,0.464072663621506,0.423268980357465,0.686192468619247,0.423268980357465,English
EVS30131,6939,0.707882980256521,0.454768590791362,0.434443653852467,0.707882980256521,0.434443653852467,EVS
EVS30132,6937,0.578780452645236,0.493790228038615,0.480689853450012,0.578780452645236,0.480689853450012,EVS
EVS30433,6937,0.820095141992216,0.384135876441571,0.303142315133334,0.820095141992216,0.303142315133334,EVS
EVS30634,6932,0.797461050201962,0.401920672727124,0.446301588886781,0.797461050201962,0.446301588886781,EVS
EVS30935,6911,0.517435971639415,0.499732050550046,0.348767926948113,0.517435971639415,0.348767926948113,EVS
M20221,6935,0.392501802451334,0.488342630945379,0.394273487417499,0.392501802451334,0.394273487417499,Math
M20428,6940,0.44164265129683,0.49661852292294,0.402302692577896,0.44164265129683,0.402302692577896,Math
M20529,6939,0.479319786712783,0.499608147026814,0.466957127285923,0.479319786712783,0.466957127285923,Math
M21325,6931,0.509017457798298,0.49995474670937,0.338512014311978,0.509017457798298,0.338512014311978,Math
M30223,6936,0.123414071510957,0.328935613816752,0.0257404125289249,0.123414071510957,0.0257404125289249,Math
M30322,6934,0.398471300836458,0.489618724987895,0.461554475086314,0.398471300836458,0.461554475086314,Math
M31226,6922,0.515602427044207,0.499792608033107,0.470170434726192,0.515602427044207,0.470170434726192,Math
M31327,6942,0.541054451166811,0.498347576573243,0.424826787690747,0.541054451166811,0.424826787690747,Math
M31624,6936,0.539504036908881,0.498472923102764,0.414861547917943,0.539504036908881,0.414861547917943,Math
M31830,6937,0.342222862909038,0.474487965911042,0.371174592968233,0.342222862909038,0.371174592968233,Math
T2071,6937,0.606602277641632,0.488539005419254,0.499172375882044,0.606602277641632,0.499172375882044,Tamil
T20710,6924,0.493356441363374,0.499991968201085,0.497838482418375,0.493356441363374,0.497838482418375,Tamil
T2072,6934,0.535765791750793,0.498755133365739,0.475187887355192,0.535765791750793,0.475187887355192,Tamil
T2073,6934,0.582347851168157,0.49320777846029,0.517360842468752,0.582347851168157,0.517360842468752,Tamil
T2074,6933,0.589355257464301,0.491986331902748,0.490902729623038,0.589355257464301,0.490902729623038,Tamil
T2075,6934,0.592587251225844,0.491388261839064,0.557505007283895,0.592587251225844,0.557505007283895,Tamil
T2076,6920,0.515028901734104,0.499810195831532,0.457012781473604,0.515028901734104,0.457012781473604,Tamil
T2077,6905,0.560318609703114,0.496384275764594,0.512803483321104,0.560318609703114,0.512803483321104,Tamil
T2078,6924,0.493500866551127,0.499993866637927,0.464943445018472,0.493500866551127,0.464943445018472,Tamil
T2079,6918,0.469788956345765,0.499122533779541,0.322121959888145,0.469788956345765,0.322121959888145,Tamil
