learning_outcome,n,mean,sd,r,p,bis,subject
E81311,12401,0.562142108234535,0.49614333760909,0.376996403890747,0.562142108234535,0.376996403890747,English
E81312,12401,0.564319703201871,0.4958657143198,0.483662346286377,0.564319703201871,0.483662346286377,English
E81313,12401,0.3715622227599,0.483241731809169,0.380769506203771,0.3715622227599,0.380769506203771,English
E81314,12401,0.504718122429228,0.499997902063504,0.409047768552415,0.504718122429228,0.409047768552415,English
E81315,12402,0.217661290322581,0.41267249335846,0.0464436399726662,0.217661290322581,0.0464436399726662,English
E81316,12396,0.393787817668415,0.488608466130249,0.214455611183469,0.393787817668415,0.214455611183469,English
E81317,12390,0.507304867220922,0.499966814326262,0.373239757159804,0.507304867220922,0.373239757159804,English
E81318,12386,0.413726281792491,0.492520488766953,0.345070118635468,0.413726281792491,0.345070118635468,English
E81319,12398,0.513430668710172,0.499839744700601,0.455349544974796,0.513430668710172,0.455349544974796,English
E81320,12396,0.410004033884631,0.491853884451487,0.322722666523612,0.410004033884631,0.322722666523612,English
M70421,12400,0.594531376028392,0.491002305779978,0.461800229791332,0.594531376028392,0.461800229791332,Math
M70722,12400,0.444184545894499,0.496894908358223,0.502125101109802,0.444184545894499,0.502125101109802,Math
M71423,12400,0.495402484271657,0.499999027312395,0.399497733487154,0.495402484271657,0.399497733487154,Math
M71824,12398,0.422555663117135,0.49398589072296,0.417824243921804,0.422555663117135,0.417824243921804,Math
M80125,12399,0.521093813019279,0.499575002330794,0.318007228883886,0.521093813019279,0.318007228883886,Math
M80826,12391,0.486802808943418,0.499845977186099,0.506540015504648,0.486802808943418,0.506540015504648,Math
M80927,12399,0.429942728079374,0.495087619024358,0.405724930210878,0.429942728079374,0.405724930210878,Math
M81429,12399,0.485601355166573,0.499812795052503,0.456038061048742,0.485601355166573,0.456038061048742,Math
M81730,12399,0.530934903605711,0.499062242946915,0.432878715483785,0.530934903605711,0.432878715483785,Math
SCI70138,12394,0.642730353396805,0.479214539710433,0.418332062915354,0.642730353396805,0.418332062915354,Science
SCI70237,12398,0.340216163897403,0.473800836269679,0.352019310725494,0.340216163897403,0.352019310725494,Science
SCI70333,12399,0.536091620291959,0.498715805265512,0.414608594817738,0.536091620291959,0.414608594817738,Science
SCI70432,12386,0.266106894881318,0.441938665393989,0.132621514184902,0.266106894881318,0.132621514184902,Science
SCI70631,12391,0.537002663223307,0.498649044888982,0.36313496452535,0.537002663223307,0.36313496452535,Science
SCI70940,12394,0.544779732128449,0.498010829667029,0.465437796149793,0.544779732128449,0.465437796149793,Science
SCI80139,12394,0.324108439567533,0.468059649243898,0.158292223267339,0.324108439567533,0.158292223267339,Science
SCI80235,12400,0.427016129032258,0.49466462162975,0.0621810975005324,0.427016129032258,0.0621810975005324,Science
SCI81236,12398,0.626955960638813,0.483633177200546,0.381338368631727,0.626955960638813,0.381338368631727,Science
SST70245,12397,0.583124949584577,0.493061713312162,0.425180838653752,0.583124949584577,0.425180838653752,Social Science
SST70246,12397,0.55440832459466,0.497050966403566,0.374002527619954,0.55440832459466,0.374002527619954,Social Science
SST70247,12396,0.466844143272023,0.49891960263947,0.333301463462843,0.466844143272023,0.333301463462843,Social Science
SST71341,12397,0.702347342098895,0.457244374382627,0.471570485695686,0.702347342098895,0.471570485695686,Social Science
SST71642,12397,0.569008631120432,0.495234886145298,0.441329220890165,0.569008631120432,0.441329220890165,Social Science
SST71943,12399,0.658601500120978,0.474197954225094,0.439675150854761,0.658601500120978,0.439675150854761,Social Science
SST72648,12394,0.670647087300307,0.469997228210901,0.390033893927,0.670647087300307,0.390033893927,Social Science
SST81144,12397,0.457610712269097,0.498220002737319,0.202841350312825,0.457610712269097,0.202841350312825,Social Science
SST82549,12395,0.645018152480839,0.478527125345511,0.379773990322727,0.645018152480839,0.379773990322727,Social Science
SST83250,12392,0.617253066494513,0.486076932999378,0.430099899962868,0.617253066494513,0.430099899962868,Social Science
T7091,12399,0.605388400419456,0.488786821488923,0.412345037069507,0.605388400419456,0.412345037069507,Tamil
T70910,12397,0.415053242981607,0.492751089018475,0.167563115081019,0.415053242981607,0.167563115081019,Tamil
T7092,12398,0.578089706356889,0.493884273095934,0.351217458352083,0.578089706356889,0.351217458352083,Tamil
T7093,12398,0.320667957405615,0.466752175494639,0.0270103938773709,0.320667957405615,0.0270103938773709,Tamil
T7094,12398,0.691190706679574,0.462020923789513,0.425322075602232,0.691190706679574,0.425322075602232,Tamil
T7095,12398,0.722571797353985,0.447747660873507,0.389711112776026,0.722571797353985,0.389711112776026,Tamil
T7096,12392,0.667742716487773,0.47104170477102,0.472108380925435,0.667742716487773,0.472108380925435,Tamil
T7097,12394,0.496974098281288,0.50001101736454,0.347837439691099,0.496974098281288,0.347837439691099,Tamil
T7098,12397,0.684575669570829,0.464703392588927,0.44560670224161,0.684575669570829,0.44560670224161,Tamil
T7099,12397,0.409890287189416,0.491833055006289,0.241241349268009,0.409890287189416,0.241241349268009,Tamil
