learning_outcome,n,mean,sd,r,p,bis,subject
E30411,11661,0.65003001457851,0.476980612920985,0.354652866578828,0.65003001457851,0.354652866578828,English
E30412,11665,0.842948992713245,0.363864450533001,0.435534414978388,0.842948992713245,0.435534414978388,English
E30413,11663,0.598645288519249,0.490193543193848,0.357458599769162,0.598645288519249,0.357458599769162,English
E30414,11663,0.823887507502358,0.380932178131872,0.471872627313708,0.823887507502358,0.471872627313708,English
E30415,11662,0.874721317098268,0.331048836254258,0.429608034307005,0.874721317098268,0.429608034307005,English
E30416,11637,0.642519549712125,0.479278538424686,0.313609928840058,0.642519549712125,0.313609928840058,English
E30417,11614,0.810142930945411,0.392204802547768,0.43867965405485,0.810142930945411,0.43867965405485,English
E30418,11642,0.876825287751245,0.328651761438792,0.394192498506158,0.876825287751245,0.394192498506158,English
E30419,11641,0.849669272399278,0.357410650971297,0.447065934365686,0.849669272399278,0.447065934365686,English
E30420,11639,0.834693702208093,0.371472719997098,0.40680144805586,0.834693702208093,0.40680144805586,English
EVS30131,11662,0.881495455324987,0.3232184644109,0.42345042646079,0.881495455324987,0.42345042646079,EVS
EVS30132,11661,0.857216362233085,0.349867071439091,0.415829602744774,0.857216362233085,0.415829602744774,EVS
EVS30433,11665,0.875696528075439,0.329941587416276,0.317061521533423,0.875696528075439,0.317061521533423,EVS
EVS30634,11654,0.935901836279389,0.24493823124116,0.393007912036877,0.935901836279389,0.393007912036877,EVS
EVS30935,11631,0.686097498065515,0.464097230658068,0.347372942598464,0.686097498065515,0.347372942598464,EVS
M20221,11659,0.587100094347714,0.492376245687902,0.375104139505288,0.587100094347714,0.375104139505288,Math
M20428,11658,0.697632527020072,0.459303254884294,0.327910574419269,0.697632527020072,0.327910574419269,Math
M20529,11657,0.691944754224929,0.461709322695023,0.458900980277072,0.691944754224929,0.458900980277072,Math
M21325,11656,0.652968428277282,0.476046323698066,0.335005243746229,0.652968428277282,0.335005243746229,Math
M30223,11656,0.156056966369252,0.362924909260645,0.0303525374119272,0.156056966369252,0.0303525374119272,Math
M30322,11656,0.715168153740563,0.451353678751005,0.457528047660457,0.715168153740563,0.457528047660457,Math
M31226,11642,0.79316268682357,0.405055220890585,0.428100608103889,0.79316268682357,0.428100608103889,Math
M31327,11660,0.77409948542024,0.418191906617669,0.411776211913213,0.77409948542024,0.411776211913213,Math
M31624,11656,0.746225120109815,0.43518896868243,0.39606321134409,0.746225120109815,0.39606321134409,Math
M31830,11657,0.57261731148666,0.494719841774216,0.314824675916579,0.57261731148666,0.314824675916579,Math
T2071,11671,0.824693685202639,0.380245183149005,0.492366954488093,0.824693685202639,0.492366954488093,Tamil
T20710,11642,0.766964439099811,0.422782854130915,0.434435439825078,0.766964439099811,0.434435439825078,Tamil
T2072,11665,0.778482640377197,0.415285689128849,0.454766720750671,0.778482640377197,0.454766720750671,Tamil
T2073,11665,0.817659665666524,0.386141320080418,0.488280894210895,0.817659665666524,0.488280894210895,Tamil
T2074,11663,0.791477321443882,0.406269766428246,0.459620839145974,0.791477321443882,0.459620839145974,Tamil
T2075,11663,0.824659178598988,0.38027465954185,0.507876019549174,0.824659178598988,0.507876019549174,Tamil
T2076,11643,0.786309370437173,0.40992850257637,0.462010682211034,0.786309370437173,0.462010682211034,Tamil
T2077,11625,0.818924731182796,0.385097095301543,0.46300923906212,0.818924731182796,0.46300923906212,Tamil
T2078,11644,0.748969426313981,0.433624691436928,0.494586055473753,0.748969426313981,0.494586055473753,Tamil
T2079,11637,0.692360574031108,0.461536254908906,0.409507359077916,0.692360574031108,0.409507359077916,Tamil
